ncessch,name,address,address_secondary,city,state_code,zip_code,school_type,offered_09,total_09,offered_10,total_10,offered_11,total_11,offered_12,total_12,total_students,total_white,total_black,total_hispanic,total_asian,total_amerindian,total_nativehawaii,total_tworaces,pct_white,pct_black,pct_hispanic,pct_asian,pct_amerindian,pct_nativehawaii,pct_tworaces,is_religious,religious_orientation,accelerated_christian_edu,amer_assoc_christian_sch,assoc_christian_sch_intl,oral_roberts,total_male,pct_to_4yr,region,community_type,locale_code,latitude,longitude,is_christian,is_conservative,religion_5,religion_4,religion,year,overall_niche_letter_grade,rank_within_category
BB162777,CORAM DEO ACADEMY,4900 WICHITA TRL, ,FLOWER MOUND,TX,75022,3,1,100,1,89,1,77,1,68,1224,1050,28,34,39,2,0,71,85.784313725,2.2875816993,2.7777777778,3.1862745098,0.1633986928,0,5.8006535948,1,8,0,0,0,0,563,89,3,2,21,33.02257,-97.107271,1,0,other_christian,other_religion,christian,1718,NA,NA
A1790497,HYDE PARK HIGH SCHOOL,11400 N MOPAC EXPY, ,AUSTIN,TX,78759,1,1,85,1,75,1,75,1,90,680,609,30,20,21,0,0,0,89.558823529,4.4117647059,2.9411764706,3.0882352941,0,0,0,1,5,0,0,0,0,300,98,3,1,11,30.40823,-97.732121,1,0,other_christian,other_religion,christian,1718,NA,NA
01432324,"MIDDLEBURG ACADEMY, INC.",35321 NOTRE DAME LN, ,MIDDLEBURG,VA,20117,1,1,25,1,29,1,22,1,33,119,72,8,10,28,0,0,1,60.504201681,6.7226890756,8.4033613445,23.529411765,0,0,0.8403361345,0,-1,0,0,0,0,62,100,3,4,42,38.98889,-77.785271,0,0,nonsectarian,nonsectarian,nonsectarian,1718,NA,NA
BB141099,THE BEAR CREEK SCHOOL,8905 208TH AVE NE, ,REDMOND,WA,98053,1,1,70,1,44,1,58,1,51,715,496,3,12,105,0,0,99,69.370629371,0.4195804196,1.6783216783,14.685314685,0,0,13.846153846,1,8,0,0,1,0,353,100,4,2,21,47.68126,-122.065521,1,1,conservative_christian,conservative_christian,christian,1718,NA,NA
00082968,REDLANDS CHRISTIAN SCHOOL,105 TENNESSEE ST.,NA,REDLANDS,CA,92373,1,1,90,1,105,1,94,1,87,904,555,13,127,91,9,3,106,61.3938053097345,1.43805309734513,14.0486725663717,10.0663716814159,0.995575221238938,0.331858407079646,11.7256637168142,1,8,0,0,1,0,452,75,4,1,13,34.05206,-117.200171,1,1,conservative_christian,conservative_christian,christian,1516,NA,NA
00071672,ST PIUSX-ST.MATTHIAS ACADEMY,7851 EAST GARDENSTREET,NA,DOWNEY,CA,90242,1,1,86,1,93,1,72,1,55,306,17,8,276,3,0,2,0,5.55555555555556,2.61437908496732,90.1960784313726,0.980392156862745,0,0.65359477124183,0,1,1,0,0,0,0,153,99,4,2,21,33.919177,-118.160152,1,0,catholic,catholic,catholic,1516,NA,NA
00578273,INSTITUTE OF NOTRE DAME,901 N AISQUITH ST,NA,BALTIMORE,MD,21202,1,1,78,1,63,1,78,1,96,315,146,118,15,14,2,0,20,46.3492063492063,37.4603174603175,4.76190476190476,4.44444444444444,0.634920634920635,0,6.34920634920635,1,1,0,0,0,0,0,91,3,1,11,39.3007,-76.601511,1,0,catholic,catholic,catholic,1516,NA,NA
00602446,ST MARYS PARISH SCHOOL,27-35 BARTLETT ST,NA,WESTFIELD,MA,01085,1,1,13,1,26,1,34,1,24,285,264,3,2,16,0,0,0,92.6315789473684,1.05263157894737,0.701754385964912,5.6140350877193,0,0,0,1,1,0,0,0,0,147,90,1,2,21,42.12479,-72.746171,1,0,catholic,catholic,catholic,1516,NA,NA
A0502124,JOHN F KENNEDY CATHOLIC SCHOOL,500 WOODS MILL RD,NA,MANCHESTER,MO,63011,1,1,53,1,59,1,77,1,70,259,237,8,6,3,1,2,2,91.5057915057915,3.08880308880309,2.31660231660232,1.15830115830116,0.386100386100386,0.772200772200772,0.772200772200772,1,1,0,0,0,0,108,87,2,2,21,38.6014678,-90.5077333,1,0,catholic,catholic,catholic,1516,NA,NA
02167374,OAK KNOLL SCHOOL OF THE HOLY CHILD,44 BLACKBURN RD,NA,SUMMIT,NJ,07901,1,1,70,1,64,1,68,1,56,542,435,30,26,24,2,8,17,80.2583025830258,5.53505535055351,4.7970479704797,4.4280442804428,0.3690036900369,1.4760147601476,3.13653136531365,1,1,0,0,0,0,81,100,1,2,21,40.71102,-74.366861,1,0,catholic,catholic,catholic,1516,NA,NA
A1502368,PRINCETON INTL SCHOOL OF MATHEMATICS AND SCIENCE,19 LAMBERT DR,NA,PRINCETON,NJ,08540,3,1,16,1,21,1,10,1,18,65,5,3,1,53,1,0,2,7.69230769230769,4.61538461538462,1.53846153846154,81.5384615384615,1.53846153846154,0,3.07692307692308,0,NA,0,0,0,0,45,NA,1,2,21,40.34124,-74.694151,0,0,nonsectarian,nonsectarian,nonsectarian,1516,NA,NA
